point_index,human_mean,M1_b0.5,M2_b0.5_g0.65,M3_b1.0_k0.95,H_b2.5
174,0.3079,0.25751,0.3301,0.28865,0.32803
175,0.29041,0.25751,0.32563,0.28865,0.31218
176,0.26367,0.25751,0.28306,0.28865,0.22945
177,0.29016,0.25751,0.28623,0.28865,0.28063
178,0.18343,0.25751,0.16263,0.28865,0.14021
179,0.18792,0.25751,0.2825,0.28865,0.22945
180,0.3358,0.05548,0.33608,0.26029,0.26923
181,0.50313,0.05548,0.59205,0.26029,0.56011
182,0.12926,0.05548,0.15236,0.26029,0.11668
183,0.02584,0.05548,0.03529,0.26029,0.05301
184,0.33347,0.10346,0.27651,0.24553,0.22721
185,0.40989,0.10346,0.5394,0.24553,0.50354
186,0.1148,0.10346,0.09878,0.24553,0.06757
187,0.05496,0.10346,0.04706,0.24553,0.06981
188,0.34151,0.28402,0.30228,0.30732,0.28063
189,0.36872,0.28402,0.39227,0.30732,0.37957
190,0.20168,0.28402,0.19754,0.30732,0.16523
191,0.25849,0.08591,0.21789,0.25598,0.2709
192,0.13139,0.08591,0.09429,0.25598,0.13983
193,0.0578,0.08591,0.02951,0.25598,0.02874
194,0.35098,0.13147,0.34392,0.26253,0.3691
195,0.35074,0.13147,0.33532,0.26253,0.4199
196,0.13634,0.13147,0.09167,0.26253,0.09429
197,0.33226,0.05305,0.32991,0.2528,0.3286
198,0.32541,0.05305,0.31983,0.2528,0.31366
199,0.16497,0.05305,0.10268,0.2528,0.10998
200,0.32141,0.29464,0.33272,0.31124,0.33123
201,0.35495,0.29462,0.33308,0.31124,0.32599
202,0.3398,0.29462,0.34913,0.31124,0.37377
203,0.26078,0.08588,0.25878,0.25579,0.32188
204,0.13867,0.08588,0.12771,0.25579,0.18931
205,0.04994,0.08588,0.02913,0.25579,0.02874
206,0.36705,0.13144,0.40235,0.26233,0.42756
207,0.41766,0.13144,0.43017,0.26233,0.50972
208,0.12449,0.13144,0.09148,0.26233,0.09429
209,0.29319,0.05302,0.2907,0.25262,0.28417
210,0.28776,0.05302,0.16411,0.25262,0.15291
211,0.12399,0.05302,0.10007,0.25262,0.11015
212,0.30906,0.29461,0.30844,0.31124,0.29294
213,0.38479,0.29461,0.34839,0.31124,0.37546
214,0.35095,0.29461,0.35027,0.31124,0.37377
215,0.26719,0.08792,0.25076,0.26849,0.32188
216,0.08519,0.08792,0.05658,0.26849,0.07058
217,0.03338,0.08792,0.07842,0.26849,0.12211
218,0.37792,0.22869,0.37829,0.2954,0.42756
219,0.20636,0.22869,0.13686,0.2954,0.16449
220,0.17702,0.22869,0.23843,0.2954,0.32431
221,0.33511,0.04648,0.30564,0.26551,0.28417
222,0.32232,0.04648,0.37584,0.26551,0.37586
223,0.12496,0.04648,0.08402,0.26551,0.10493
224,0.31759,0.33607,0.31479,0.32861,0.29294
225,0.34623,0.33607,0.36445,0.32861,0.37024
226,0.35829,0.33607,0.33383,0.32861,0.33887
227,0.29368,0.04741,0.21789,0.25915,0.2709
228,0.10321,0.04741,0.09429,0.25915,0.13983
229,0.02297,0.04741,0.01437,0.25915,0.0138
230,0.35616,0.05115,0.34392,0.25952,0.3691
231,0.31783,0.05115,0.33476,0.25952,0.4199
232,0.06722,0.05115,0.01886,0.25952,0.0155
233,0.31568,0.0575,0.32991,0.2599,0.3286
234,0.32137,0.0575,0.32058,0.2599,0.31366
235,0.21274,0.0575,0.20482,0.2599,0.2933
236,0.32446,0.31776,0.33272,0.32225,0.33123
237,0.33108,0.31776,0.33216,0.32225,0.32599
238,0.31165,0.31776,0.3133,0.32225,0.33104
239,0.26765,0.04741,0.25878,0.2599,0.32188
240,0.10696,0.04741,0.12976,0.2599,0.18931
241,0.0343,0.04741,0.01457,0.2599,0.0138
242,0.38405,0.05115,0.40235,0.26008,0.42756
243,0.37411,0.05115,0.43316,0.26008,0.50972
244,0.08637,0.05115,0.01924,0.26008,0.0155
245,0.32252,0.05732,0.2907,0.26065,0.28417
246,0.26335,0.05732,0.166,0.26065,0.15291
247,0.21556,0.05732,0.20221,0.26065,0.2933
248,0.32372,0.31776,0.30844,0.32244,0.29294
249,0.35896,0.31776,0.34913,0.32244,0.37546
250,0.30358,0.31776,0.31647,0.32244,0.33104
251,0.30288,0.0672,0.25094,0.24292,0.32188
252,0.09678,0.0672,0.05601,0.24292,0.07058
253,0.00874,0.0672,0.02446,0.24292,0.02464
254,0.34359,0.07318,0.37829,0.24349,0.42756
255,0.21394,0.07318,0.13555,0.24349,0.16449
256,0.04922,0.07318,0.03697,0.24349,0.02858
257,0.32088,0.06776,0.30546,0.2431,0.28417
258,0.36867,0.06776,0.37284,0.2431,0.37586
259,0.05607,0.06776,0.0381,0.2431,0.02763
260,0.34785,0.29274,0.31459,0.29966,0.29294
261,0.36536,0.29274,0.36259,0.29966,0.37024
262,0.19283,0.29274,0.30806,0.29966,0.30507
263,0.398,0.43204,0.34541,0.36184,0.3691
264,0.3767,0.44864,0.40406,0.36501,0.42756
265,0.34285,0.61762,0.32991,0.42308,0.3286
266,0.36132,0.61762,0.32637,0.42308,0.31366
267,0.34121,0.61912,0.2907,0.41206,0.28417
268,0.33078,0.61912,0.16896,0.41206,0.15291
269,0.34121,0.48486,0.33272,0.42234,0.33123
270,0.39562,0.48486,0.33365,0.42234,0.32599
271,0.45218,0.48486,0.45464,0.42234,0.41972
272,0.35752,0.48486,0.30844,0.42234,0.29294
273,0.39897,0.48486,0.34952,0.42234,0.37546
274,0.48107,0.48486,0.45483,0.42234,0.41972
275,0.2946,0.85643,0.25076,0.47573,0.32188
276,0.14221,0.85643,0.05639,0.47573,0.07058
277,0.30525,0.85643,0.43055,0.47573,0.44417
278,0.91055,0.85643,0.92477,0.47573,0.90535
279,0.35185,0.64638,0.37829,0.46939,0.42756
280,0.27445,0.64638,0.13742,0.46939,0.16449
281,0.57428,0.64638,0.62753,0.46939,0.67755
282,0.65922,0.64638,0.79388,0.46939,0.70726
283,0.35847,0.43166,0.31479,0.38519,0.29294
284,0.3878,0.43166,0.365,0.38519,0.37024
285,0.42851,0.43166,0.37362,0.38519,0.33887
