stimulus_index,goal,human_mean,M1_b0.5,M2_b2.0_g0.25,M3_b2.5_k0.5,H_b2.5,targeted_black
30,B,0.92361,0.98257,0.99794,0.91951,0.994,0
30,C,0.02537,-6e-05,0.00019,0.03996,0.00035,0
31,A,0.05188,0.01712,0.00168,0.04015,0.0052,0
31,B,0.91675,0.98146,0.99794,0.91951,0.99419,0
31,C,0.03199,0.00108,0.00019,0.03996,0.00035,0
32,A,0.04879,0.01377,0.00206,0.03961,0.00482,0
32,B,0.88505,0.78766,0.94437,0.90627,0.93165,0
32,C,0.06681,0.19825,0.05322,0.05398,0.0631,0
33,A,0.2698,0.27702,0.16318,0.22686,0.11219,0
33,B,0.1283,0.2548,0.14657,0.2192,0.10304,0
33,C,0.60251,0.46785,0.69007,0.55357,0.78452,0
34,A,0.11791,0.05204,0.0155,0.05621,0.09857,0
34,B,0.04219,0.02852,0.0071,0.05472,0.0349,0
34,C,0.84034,0.91893,0.97721,0.88873,0.86612,0
35,A,0.22936,0.28076,0.17458,0.23209,0.123,0
35,B,0.12926,0.18014,0.05301,0.16563,0.04908,0
35,C,0.64179,0.5386,0.77222,0.60194,0.82766,0
36,A,0.13399,0.04459,0.01532,0.05602,0.1006,0
36,B,0.03389,0.00481,0.003,0.05398,0.014,0
36,C,0.83254,0.9501,0.98135,0.88986,0.88498,0
37,A,0.25635,0.29198,0.22572,0.19344,0.33065,0
37,B,0.1456,0.19395,0.07152,0.08046,0.07914,0
37,C,0.59851,0.51378,0.70259,0.72592,0.58977,0
38,A,0.30486,0.30243,0.22835,0.19138,0.33268,0
38,B,0.05402,0.02555,0.0226,0.0465,0.07336,0
38,C,0.64179,0.67173,0.7489,0.76177,0.59352,0
39,A,0.05825,0.10247,0.02243,0.07451,0.00856,0
39,B,0.20711,0.33884,0.22406,0.26215,0.10247,0
39,C,0.73527,0.55841,0.75318,0.66299,0.88871,0
40,A,0.28733,0.28546,0.26512,0.18635,0.34368,0
40,B,0.17565,0.22011,0.10568,0.12528,0.15288,0
40,C,0.53767,0.4942,0.62883,0.68801,0.50296,0
41,A,0.13472,0.06869,0.02877,0.03437,0.10995,0
41,B,0.13258,0.22308,0.09858,0.05454,0.10995,0
41,C,0.73339,0.70797,0.87229,0.91077,0.77965,0
42,A,0.33042,0.56084,0.31346,0.45631,0.34368,0
42,B,0.12429,0.05206,0.09019,0.08924,0.15288,0
42,C,0.54574,0.38665,0.59596,0.45427,0.50296,0
43,A,0.11959,0.18201,0.02951,0.01701,0.10995,0
43,B,0.08598,0.07112,0.09672,0.03548,0.10995,0
43,C,0.79516,0.74642,0.87359,0.94717,0.77965,0
44,A,0.18062,0.83883,0.00224,0.00206,0.00316,0
44,B,0.0694,0.15905,0.00131,0.00039,0.00464,0
44,C,0.75068,0.00165,0.99608,0.99721,0.99176,0
45,A,0.10752,0.7985,0.00038,0.0,0.00221,0
45,B,0.06826,0.05822,0.0,0.0,0.00018,0
45,C,0.82475,0.14278,0.99925,0.99982,0.99719,0
46,A,0.21948,0.71075,0.03174,0.04445,0.10136,0
46,B,0.0304,0.11477,0.00243,0.00691,0.00894,0
46,C,0.7507,0.17415,0.96546,0.94845,0.88927,0
47,A,0.15582,0.39967,0.01158,0.00019,0.0711,0
47,B,0.02403,0.01134,0.00113,0.0,0.00482,0
47,C,0.82098,0.58843,0.98692,0.99943,0.92361,0
48,A,0.24504,0.2813,0.25729,0.10661,0.16147,0
48,B,0.08224,0.10561,0.05397,0.05135,0.16147,0
48,C,0.67334,0.61271,0.68857,0.84167,0.6766,0
49,A,0.43457,0.37298,0.39955,0.36838,0.3717,0
49,B,0.37826,0.3584,0.38051,0.35961,0.362,0
49,C,0.18779,0.26804,0.21976,0.27187,0.26585,0
50,A,0.57232,0.52644,0.54445,0.44529,0.51026,0
50,B,0.32196,0.44951,0.43802,0.39564,0.44976,0
50,C,0.10662,0.02365,0.01737,0.15869,0.03975,0
51,A,0.48666,0.43142,0.39228,0.33048,0.52407,0
51,B,0.48903,0.56828,0.60661,0.53753,0.47366,0
51,C,0.02498,-7e-05,0.00075,0.13163,0.00202,0
52,A,0.2725,0.32593,0.29612,0.30603,0.30953,0
52,B,0.24955,0.31342,0.28229,0.29893,0.3015,0
52,C,0.47862,0.36009,0.42122,0.3947,0.3887,0
53,A,0.28955,0.31697,0.25729,0.25002,0.28769,0
53,B,0.22755,0.27066,0.20874,0.22219,0.25352,0
53,C,0.48357,0.41197,0.53361,0.52744,0.45835,0
54,A,0.45756,0.40304,0.38312,0.32935,0.49792,0
54,B,0.41449,0.53093,0.60008,0.53605,0.45013,0
54,C,0.12864,0.06566,0.01661,0.13423,0.0517,0
55,A,0.36244,0.34273,0.3428,0.33755,0.3381,0
55,B,0.33239,0.32947,0.32674,0.32953,0.32931,0
55,C,0.30588,0.32722,0.33027,0.33253,0.33231,0
56,A,0.4571,0.37316,0.37678,0.35512,0.35771,0
56,B,0.26521,0.31865,0.3049,0.31552,0.31532,0
56,C,0.27842,0.30763,0.31813,0.32917,0.32653,0
57,A,0.40362,0.30503,0.33309,0.28996,0.45965,0
57,B,0.32504,0.40173,0.48395,0.47182,0.41541,0
57,C,0.27204,0.29288,0.18279,0.23787,0.12468,0
58,A,0.36621,0.34048,0.34448,0.33944,0.33997,0
58,B,0.26115,0.32742,0.32806,0.33141,0.3312,0
58,C,0.37332,0.33171,0.32731,0.32899,0.3284,0
59,A,0.47438,0.36195,0.38275,0.36483,0.36649,0
59,B,0.20225,0.30913,0.30957,0.32412,0.32297,0
59,C,0.32409,0.32835,0.3075,0.31086,0.31027,0
60,A,0.31583,0.27719,0.24123,0.22704,0.31216,0
60,B,0.29358,0.36514,0.35605,0.36949,0.28209,0
60,C,0.39154,0.3571,0.40254,0.40309,0.40531,0
61,A,0.55743,0.39837,0.50615,0.43131,0.44548,0
61,B,0.22899,0.27906,0.19605,0.25467,0.24026,0
61,C,0.21432,0.32219,0.29761,0.31385,0.31402,0
62,A,0.77323,0.8431,0.95407,0.66916,0.85473,0
62,B,0.16061,0.10841,0.02541,0.16581,0.07821,0
62,C,0.06692,0.04792,0.02035,0.16488,0.06663,0
63,A,0.2886,0.33955,0.34036,0.3372,0.36014,0
63,B,0.19089,0.2378,0.13423,0.19922,0.19416,0
63,C,0.52123,0.42227,0.52502,0.46341,0.44548,0
64,A,0.33072,0.36045,0.31387,0.27708,0.37263,0
64,B,0.07423,0.04624,0.01344,0.06853,0.03415,0
64,C,0.59576,0.59272,0.67233,0.65424,0.59295,0
65,A,0.47604,0.41666,0.56477,0.45837,0.48093,0
65,B,0.19846,0.29177,0.21751,0.27073,0.25931,0
65,C,0.32622,0.29102,0.21751,0.27073,0.25931,0
66,A,0.66863,0.80987,0.94566,0.66786,0.80991,0
66,B,0.17361,0.10413,0.02577,0.16545,0.07411,0
66,C,0.15848,0.08545,0.02821,0.16636,0.11554,0
67,A,0.52335,0.40807,0.56516,0.45783,0.47999,0
67,B,0.22048,0.28578,0.21751,0.27035,0.25896,0
67,C,0.25694,0.30583,0.21715,0.27166,0.26082,0
68,A,0.5977,0.66933,0.79278,0.64675,0.51679,0
68,B,0.1112,0.08607,0.02243,0.16021,0.04723,0
68,C,0.29128,0.2444,0.18447,0.19287,0.43558,0
69,A,0.29483,0.39134,0.24607,0.26586,0.32506,0
69,B,0.66941,0.60269,0.75018,0.58982,0.66485,0
69,C,0.03593,0.0058,0.00354,0.14396,0.00988,0
70,A,0.29459,0.33738,0.23078,0.26418,0.30303,0
70,B,0.61995,0.5196,0.73675,0.58608,0.61985,0
70,C,0.08563,0.14282,0.0323,0.14937,0.0769,0
71,A,0.18265,0.24458,0.14824,0.18392,0.19622,0
71,B,0.39422,0.37659,0.42569,0.40794,0.4016,0
71,C,0.4233,0.37865,0.42569,0.40794,0.40179,0
72,A,0.13178,0.2543,0.14677,0.17868,0.19473,0
72,B,0.3864,0.39153,0.42122,0.39656,0.39825,0
72,C,0.48222,0.35381,0.43186,0.42439,0.40682,0
73,A,0.71604,0.87546,0.69957,0.70334,0.56196,1
73,B,0.25983,0.12435,0.29948,0.17886,0.43575,1
73,C,0.02463,0.0,0.00075,0.11744,0.00202,1
74,A,0.75768,0.82487,0.6038,0.70277,0.55056,1
74,B,0.18643,0.11708,0.38779,0.17868,0.42698,1
74,C,0.0563,0.05769,0.0082,0.11819,0.022,1
75,A,0.65426,0.84915,0.67382,0.7024,0.55112,1
75,B,0.26998,0.12064,0.31107,0.17868,0.42753,1
75,C,0.07618,0.03008,0.01494,0.11857,0.0209,1
76,A,0.44554,0.59039,0.36689,0.55247,0.32448,1
76,B,0.12492,0.08386,0.19156,0.14042,0.25166,1
76,C,0.42992,0.32544,0.44119,0.30676,0.42361,1
77,A,0.80402,0.48882,0.73879,0.48843,0.88441,1
77,B,0.16089,0.51104,0.24906,0.33608,0.08812,1
77,C,0.03525,1e-05,0.01177,0.17513,0.02705,1
78,A,0.7463,0.48359,0.67905,0.48619,0.73074,1
78,B,0.08374,0.50544,0.23078,0.33459,0.07279,1
78,C,0.17033,0.01067,0.09001,0.17886,0.19621,1
79,A,0.78013,0.41339,0.75729,0.48209,0.88498,1
79,B,0.09887,0.43207,0.2121,0.33177,0.08812,1
79,C,0.12135,0.15426,0.03026,0.18596,0.02667,1
80,A,0.45569,0.27822,0.42812,0.22481,0.59594,1
80,B,0.0546,0.29091,0.11352,0.15459,0.05935,1
80,C,0.48979,0.43056,0.45817,0.62042,0.34446,1
81,A,0.18809,0.72145,0.20053,0.37398,0.07878,1
81,B,0.78487,0.2784,0.79892,0.54294,0.92063,1
81,C,0.02741,1e-05,0.00019,0.08271,0.00018,1
82,A,0.15688,0.70221,0.14321,0.37398,0.07878,1
82,B,0.80356,0.27093,0.85624,0.54294,0.92063,1
82,C,0.03997,0.02673,0.00038,0.08271,0.00035,1
83,A,0.13628,0.64752,0.17084,0.36204,0.06888,1
83,B,0.61521,0.24984,0.73375,0.52558,0.80563,1
83,C,0.24868,0.10233,0.09523,0.11223,0.12507,1
84,A,0.09272,0.43578,0.1042,0.23266,0.05394,1
84,B,0.52507,0.16805,0.50671,0.33794,0.63049,1
84,C,0.38238,0.39582,0.38872,0.42925,0.31515,1
85,A,0.0963,0.11447,0.0211,0.0857,0.02313,1
85,B,0.88332,0.88538,0.97833,0.83197,0.97591,1
85,C,0.02057,1e-05,0.00019,0.08214,0.00054,1
86,A,0.09156,0.11429,0.0209,0.0857,0.02313,1
86,B,0.87148,0.88425,0.97833,0.83197,0.97591,1
86,C,0.03715,0.00115,0.00038,0.08214,0.00074,1
87,A,0.11664,0.10868,0.02541,0.0857,0.02313,1
87,B,0.84238,0.84038,0.97311,0.83179,0.97571,1
87,C,0.04116,0.0508,0.00131,0.08235,0.00074,1
88,A,0.04116,0.07676,0.02035,0.07242,0.01937,1
88,B,0.81091,0.59411,0.74028,0.7048,0.8226,1
88,C,0.14812,0.32881,0.23898,0.22237,0.15755,1
89,A,0.06153,0.53101,0.04687,0.14824,0.00856,1
89,B,0.1926,0.20968,0.20371,0.20315,0.10247,1
89,C,0.74631,0.25918,0.74908,0.64844,0.88853,1
90,A,0.79365,0.52747,0.63481,0.50972,0.4337,1
90,B,0.12871,0.47239,0.15871,0.29836,0.03191,1
90,C,0.07786,1e-05,0.20631,0.19156,0.53413,1
91,A,0.31731,0.51384,0.34747,0.46341,0.14001,1
91,B,0.03266,0.46008,0.08757,0.27128,0.01024,1
91,C,0.65026,0.0258,0.56477,0.26494,0.84951,1
92,A,0.45078,0.27822,0.42812,0.22481,0.59594,1
92,B,0.1034,0.29091,0.11352,0.15459,0.05935,1
92,C,0.44628,0.43056,0.45817,0.62042,0.34446,1
93,A,0.76714,0.86298,0.68074,0.69903,0.52407,1
93,B,0.20303,0.13669,0.31813,0.18317,0.47366,1
93,C,0.03003,1e-05,0.00075,0.11744,0.00202,1
94,A,0.66111,0.73285,0.55192,0.69287,0.49792,1
94,B,0.23283,0.11616,0.42829,0.18148,0.45013,1
94,C,0.10646,0.15088,0.01961,0.12547,0.0517,1
95,A,0.55819,0.80341,0.59018,0.68374,0.45965,1
95,B,0.2236,0.12736,0.29893,0.17923,0.41541,1
95,C,0.21839,0.06891,0.11053,0.13668,0.12468,1
96,A,0.4581,0.59821,0.39357,0.58365,0.31216,1
96,B,0.13889,0.09469,0.22255,0.15292,0.28209,1
96,C,0.40345,0.30678,0.38369,0.26326,0.40531,1
97,A,0.30382,0.30585,0.27968,0.22778,0.41988,1
97,B,0.67746,0.694,0.71918,0.63743,0.57747,1
97,C,0.01892,1e-05,0.00093,0.13462,0.0024,1
98,A,0.29388,0.30341,0.27128,0.2276,0.37993,1
98,B,0.59108,0.6882,0.70725,0.63705,0.52239,1
98,C,0.11523,0.00823,0.0211,0.13499,0.09744,1
99,A,0.23211,0.21958,0.26738,0.20033,0.36368,1
99,B,0.50898,0.49833,0.55675,0.56069,0.50015,1
99,C,0.25909,0.28193,0.1757,0.23882,0.13591,1
100,A,0.1545,0.18896,0.18485,0.13948,0.25372,1
100,B,0.43468,0.42886,0.38348,0.39041,0.34892,1
100,C,0.41125,0.38183,0.43149,0.46975,0.3971,1
